Project URL,SHA Detected,Subproject Name,Fully-Qualified Test Name (packageName.ClassName.methodName)
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.client.api.ClientDeduplicationTest#stateCheck[public void org.apache.pulsar.client.api.ClientDeduplicationTest.testProducerSequenceAfterRestart() throws java.lang.Exception](0)
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.client.api.ClientDeduplicationTest#stateCheck[public void org.apache.pulsar.client.api.ClientDeduplicationTest.testUpdateSequenceIdInSyncCodeSegment() throws java.lang.Exception](0)
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.compaction.CompactorTest#setup
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.compaction.CompactorTest#cleanup
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.client.api.PulsarMultiListenersWithoutInternalListenerNameTest#setup
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.client.api.PulsarMultiListenersWithoutInternalListenerNameTest#cleanup
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.client.api.PulsarMultiListenersWithoutInternalListenerNameTest#stateCheck[public void org.apache.pulsar.client.api.PulsarMultiListenersWithInternalListenerNameTest.testHttpLookupRedirect() throws java.lang.Exception](0)
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.compaction.CompactedTopicTest#setup
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.functions.worker.PulsarFunctionLocalRunTest#setup[public void org.apache.pulsar.functions.worker.PulsarFunctionLocalRunTest.testAvroFunctionLocalRun() throws java.lang.Throwable](0)
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.functions.worker.PulsarFunctionLocalRunTest#setup[public void org.apache.pulsar.functions.worker.PulsarFunctionLocalRunTest.testE2EPulsarFunctionLocalRun() throws java.lang.Throwable](0)
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.functions.worker.PulsarFunctionLocalRunTest#setup[public void org.apache.pulsar.functions.worker.PulsarFunctionLocalRunTest.testE2EPulsarFunctionLocalRunBuiltin() throws java.lang.Exception](0)
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.functions.worker.PulsarFunctionLocalRunTest#setup[public void org.apache.pulsar.functions.worker.PulsarFunctionLocalRunTest.testE2EPulsarFunctionLocalRunMultipleInstances() throws java.lang.Throwable](0)
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.functions.worker.PulsarFunctionLocalRunTest#setup[public void org.apache.pulsar.functions.worker.PulsarFunctionLocalRunTest.testE2EPulsarFunctionLocalRunNarURL() throws java.lang.Exception](0)
https://github.com/github.com/apache/pulsar,fdeb191a946a76ca5edde81464f453fcd03fc6d3,pulsar-broker,org.apache.pulsar.functions.worker.PulsarFunctionLocalRunTest#setup[public void org.apache.pulsar.functions.worker.PulsarFunctionLocalRunTest.testE2EPulsarFunctionLocalRunURL() throws java.lang.Exception](0)
